c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71
0,1,0,0,0,0,0,0,0,0,0,1,5,4,20,9,23,8,3,2,0,2,5,1,0,1,0,0,0,1,1,0,0,1,3,0,0,0,1,0,1,2,0,0,1,0,2,1,9,8,16,6,16,14,1,3,8,1,8,5,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,2,0,0,0,0,1,1,14,16,14,13,7,8,3,3,4,4,3,6,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,1,1,7,16,9,13,8,18,4,6,2,2,2,6,1,1,1,0,0,0,0,0,0,3,3,3
1,2,0,1,0,0,0,2,1,0,0,0,35,18,23,5,8,4,9,10,13,4,0,1,0,1,1,0,0,0,1,0,0,1,3,3,1,1,1,0,1,0,0,1,3,0,1,0,9,18,17,14,10,6,4,8,8,4,5,1,1,0,1,0,0,0,0,1,0,3,1,3
1,2,0,0,0,1,4,3,1,0,0,0,25,13,19,5,10,7,9,7,6,0,3,2,1,1,0,0,0,0,0,0,1,3,3,1,0,0,0,1,0,1,1,1,0,1,1,0,13,16,9,14,10,9,4,2,1,3,2,4,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,1,0,1,1,0,0,1,1,3,10,10,6,8,16,17,3,4,1,4,8,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,9,10,8,5,19,14,2,2,6,3,3,4,0,0,1,0,1,0,1,0,0,1,0,3
0,0,0,0,0,1,0,1,1,0,1,1,26,28,18,4,13,9,8,5,6,0,3,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,1,1,0,0,2,1,0,8,6,9,12,15,16,4,1,2,4,8,6,0,0,0,1,1,1,0,0,0,0,0,0
0,0,2,3,0,1,0,0,1,3,0,2,7,8,9,28,16,14,1,0,4,10,2,5,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,2,1,11,8,18,13,18,11,2,0,6,4,10,4,0,0,0,0,1,1,1,0,0,1,0,0
0,1,0,0,0,0,1,2,0,0,1,2,7,12,6,17,12,14,3,6,2,5,3,4,1,1,0,0,0,1,0,0,0,3,3,0,0,0,1,1,2,0,0,0,0,3,0,1,7,7,7,16,18,19,3,0,2,7,7,6,0,0,0,1,1,0,0,0,1,0,0,1
0,0,2,1,1,1,0,0,1,0,1,1,14,9,14,9,12,16,4,1,5,4,3,8,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,17,16,13,7,10,7,5,8,5,3,4,3,0,1,0,1,0,1,0,0,0,0,3,0
1,0,1,2,1,0,1,1,1,1,1,0,12,8,14,23,16,5,7,2,4,6,6,2,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,1,1,2,0,7,12,8,16,12,20,3,3,1,6,6,0,0,0,1,1,1,0,0,0,0,0,0,3
0,0,0,0,2,0,1,2,2,0,1,0,9,10,19,6,15,10,4,4,3,1,5,2,1,0,1,0,1,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,1,2,0,9,9,16,25,15,8,1,2,2,12,3,0,0,0,0,1,1,0,0,0,1,0,0,1
0,0,2,0,0,0,0,0,0,1,0,0,4,13,18,17,11,7,2,4,7,6,2,0,0,0,1,1,0,0,0,1,0,0,1,3,1,1,1,2,0,0,1,1,1,0,1,0,15,8,12,9,10,9,3,4,3,4,3,1,0,1,1,0,0,0,1,0,0,1,3,3
0,0,0,3,0,0,0,1,0,1,1,0,6,15,16,14,10,6,1,3,6,7,1,3,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,6,9,18,19,14,10,1,4,8,5,4,5,0,1,0,0,0,0,1,0,1,1,3,1
